modelo,tipo,parametros,tiempo_segundos,valido,clusters,ruido,ruido_pct,silhouette,davies_bouldin,calinski_harabasz,motivo,inertia,puntuacion_final
K-Means k=4,particional,k=4,0.00474,True,4,0,0.0,0.2276,1.3739,332.5517,OK,4926.8046,5.449999999999999
K-Means k=3,particional,k=3,0.0052,True,3,0,0.0,0.2139,1.5062,332.5346,OK,5780.4605,8.35
K-Means k=8,particional,k=8,0.00454,True,8,0,0.0,0.1861,1.3393,265.9931,OK,3555.2016,8.5
K-Means k=5,particional,k=5,0.00511,True,5,0,0.0,0.1972,1.4971,296.8444,OK,4542.8077,9.25
K-Means k=2,particional,k=2,1.33998,True,2,0,0.0,0.217,1.6641,351.0431,OK,6909.2003,9.85
"DBSCAN eps=1.2, min_samples=5",densidad,"eps=1.2, min_samples=5",0.0147,True,2,115,9.11,0.4152,0.5411,26.1874,OK,,10.25
K-Means k=7,particional,k=7,0.0061,True,7,0,0.0,0.1829,1.4508,261.6844,OK,3924.3372,10.35
K-Means k=6,particional,k=6,0.00552,True,6,0,0.0,0.17,1.5529,266.9106,OK,4283.0638,11.15
"DBSCAN eps=0.5, min_samples=5",densidad,"eps=0.5, min_samples=5",0.00879,True,8,1188,94.14,0.3406,0.8875,87.2863,OK,,11.200000000000001
Gaussian Mixture k=2,probabilistico,k=2,0.01395,True,2,0,0.0,0.2055,1.8009,311.6028,OK,,11.3
"DBSCAN eps=0.5, min_samples=3",densidad,"eps=0.5, min_samples=3",0.01267,True,28,1083,85.82,0.2489,0.8316,47.6308,OK,,11.4
"DBSCAN eps=1.2, min_samples=3",densidad,"eps=1.2, min_samples=3",0.01449,True,4,94,7.45,0.2227,0.6308,16.3109,OK,,12.350000000000001
Agglomerative k=6,jerarquico,k=6,0.01425,True,6,0,0.0,0.1696,1.4231,228.8057,OK,,12.499999999999998
"DBSCAN eps=0.5, min_samples=8",densidad,"eps=0.5, min_samples=8",0.00864,True,2,1247,98.81,0.3843,0.9388,13.0702,OK,,12.649999999999999
Agglomerative k=4,jerarquico,k=4,0.01416,True,4,0,0.0,0.169,1.6533,243.6087,OK,,14.049999999999999
Agglomerative k=5,jerarquico,k=5,0.01405,True,5,0,0.0,0.1611,1.5576,233.7711,OK,,14.899999999999999
Agglomerative k=8,jerarquico,k=8,0.01391,True,8,0,0.0,0.14,1.4429,210.2129,OK,,15.1
Agglomerative k=2,jerarquico,k=2,0.02619,True,2,0,0.0,0.163,1.7547,255.2827,OK,,15.149999999999999
Agglomerative k=7,jerarquico,k=7,0.01407,True,7,0,0.0,0.1457,1.4803,219.0588,OK,,15.149999999999999
Agglomerative k=3,jerarquico,k=3,0.02006,True,3,0,0.0,0.1513,1.6759,241.7285,OK,,16.05
"DBSCAN eps=1.0, min_samples=5",densidad,"eps=1.0, min_samples=5",0.0129,True,4,214,16.96,0.0788,0.9377,12.0863,OK,,19.699999999999996
Gaussian Mixture k=3,probabilistico,k=3,0.04241,True,3,0,0.0,0.1048,2.6395,198.6069,OK,,19.950000000000003
Gaussian Mixture k=4,probabilistico,k=4,0.05972,True,4,0,0.0,0.0802,2.6222,165.646,OK,,20.150000000000002
Gaussian Mixture k=7,probabilistico,k=7,0.06952,True,7,0,0.0,0.0727,2.2449,155.9084,OK,,20.95
"DBSCAN eps=1.0, min_samples=3",densidad,"eps=1.0, min_samples=3",0.01328,True,6,166,13.15,-0.0512,0.8737,10.1928,OK,,21.149999999999995
"DBSCAN eps=0.8, min_samples=8",densidad,"eps=0.8, min_samples=8",0.01094,True,5,650,51.51,-0.0853,1.0729,30.293,OK,,21.65
Gaussian Mixture k=5,probabilistico,k=5,0.05138,True,5,0,0.0,0.0657,3.1701,155.7628,OK,,22.650000000000002
Gaussian Mixture k=8,probabilistico,k=8,0.06587,True,8,0,0.0,0.0473,2.6306,148.7657,OK,,23.2
Gaussian Mixture k=6,probabilistico,k=6,0.08135,True,6,0,0.0,0.0654,3.0532,155.5254,OK,,23.200000000000003
"DBSCAN eps=0.8, min_samples=5",densidad,"eps=0.8, min_samples=5",0.01109,True,10,507,40.17,-0.2462,1.1025,8.8297,OK,,23.7
"DBSCAN eps=0.8, min_samples=3",densidad,"eps=0.8, min_samples=3",0.01127,True,22,374,29.64,-0.2682,1.0364,7.2933,OK,,23.750000000000004
"DBSCAN eps=1.0, min_samples=8",densidad,"eps=1.0, min_samples=8",0.01321,False,1,299,23.69,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=1.2, min_samples=8",densidad,"eps=1.2, min_samples=8",0.01457,False,1,142,11.25,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=1.5, min_samples=3",densidad,"eps=1.5, min_samples=3",0.01719,False,1,40,3.17,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=1.5, min_samples=5",densidad,"eps=1.5, min_samples=5",0.01715,False,1,46,3.65,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=1.5, min_samples=8",densidad,"eps=1.5, min_samples=8",0.01714,False,1,55,4.36,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=1.8, min_samples=3",densidad,"eps=1.8, min_samples=3",0.02002,False,1,25,1.98,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=1.8, min_samples=5",densidad,"eps=1.8, min_samples=5",0.0197,False,1,29,2.3,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=1.8, min_samples=8",densidad,"eps=1.8, min_samples=8",0.02032,False,1,32,2.54,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=2.0, min_samples=3",densidad,"eps=2.0, min_samples=3",0.02213,False,1,17,1.35,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=2.0, min_samples=5",densidad,"eps=2.0, min_samples=5",0.02239,False,1,19,1.51,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=2.0, min_samples=8",densidad,"eps=2.0, min_samples=8",0.02208,False,1,23,1.82,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=2.5, min_samples=3",densidad,"eps=2.5, min_samples=3",0.02692,False,1,11,0.87,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=2.5, min_samples=5",densidad,"eps=2.5, min_samples=5",0.0273,False,1,11,0.87,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=2.5, min_samples=8",densidad,"eps=2.5, min_samples=8",0.02776,False,1,13,1.03,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=3.0, min_samples=3",densidad,"eps=3.0, min_samples=3",0.03096,False,1,7,0.55,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=3.0, min_samples=5",densidad,"eps=3.0, min_samples=5",0.03001,False,1,7,0.55,,,,No hay suficientes clústeres válidos para calcular métricas,,
"DBSCAN eps=3.0, min_samples=8",densidad,"eps=3.0, min_samples=8",0.03037,False,1,7,0.55,,,,No hay suficientes clústeres válidos para calcular métricas,,
